,,,PHOTOS,DOC TYPE,NOTES,PLANT NO.,,
Veronica peregrina ssp. xalapensis,PURSLANE SPEEDWELL,,http://www.flickr.com/search/?q=jrbp Veronica peregrina,spec,Collected in 1974. Reported in Dengler Suppl. on 4/3/1978 “Puddle in Rd. F near blue oaks”; not reported since,587,,
*Veronica persica,PERSIAN SPEEDWELL,,http://www.flickr.com/search/?q=jrbp Veronica persica,SPEC,,588,,
POLEMONIACEAE – PHLOX FAMILY,,,,,,,,
Collomia heterophylla,VARIABLE-LEAF COLLOMIA,,http://www.flickr.com/search/?q=jrbp Collomia heterophylla,SPEC,,444,,
Eriastrum abramsii,ABRAMS' ERIASTRUM,,http://www.flickr.com/search/?q=jrbp Eriastrum abramsii,SPEC,,445,,
Gilia achilleifolia ssp. multicaulis,CALIFORNIA GILIA,,http://www.flickr.com/search/?q=jrbp Gilia achilleifolia,SPEC,,447,,
Gilia clivorum,PURPLESPOT GILIA,,http://www.flickr.com/search/?q=jrbp Gilia clivorum,SPEC,Corolla throat w/ purple spots,448,,
Leptosiphon androsaceus (Linanthus a.),COMMON LEPTOSIPHON,,http://www.flickr.com/search/?q=jrbp Leptosiphon androsaceus,SPEC,"Calyx hairs sparse or 0 except on margins, nonglandular (vs L. parviflorus)",450,,
"Leptosiphon bicolor
 (Linanthus b.)",BICOLORED LEPTOSIPHON,,http://www.flickr.com/search/?q=jrbp Leptosiphon bicolor,SPEC,,451,,
Leptosiphon liniflorus (Linanthus l.),FLAX-FLOWERED LEPTOSIPHON,,http://www.flickr.com/search/?q=jrbp Leptosiphon liniflorus,SPEC,Collected in 1895 “near Searsville”; not reported since,453,,
Leptosiphon parviflorus (Linanthus p.),SMALL-FLOWERED LEPTOSIPHON,,http://www.flickr.com/search/?q=jrbp Leptosiphon parviflorus,SPEC,"Calyx densely hairy, glandular (vs L. androsaceus)",454,,
Leptosiphon pygmaeus ssp. continentalis (Linanthus p. ssp. c),PYGMY LEPTOSIPHON,,http://www.flickr.com/search/?q=jrbp Leptosiphon pygmaeus,SPEC,,455,,
Linanthus dichotomus,EVENING SNOW,,http://www.flickr.com/search/?q=jrbp Linanthus dichotomus,SPEC,Collected 1896-1920 on “ridge”; not reported since,452,,
Microsteris gracilis (Phlox g.),SLENDER PHLOX,,http://www.flickr.com/search/?q=jrbp Microsteris gracilis,SPEC,Tiny plant on serpentine w/ opposite leaves and hairy calyx,459,,
Navarretia heterodoxa,CALISTOGA NAVARRETIA,,http://www.flickr.com/search/?q=jrbp Navarretia heterodoxa,SPEC,"Style, stamens exerted",456,,
Navarretia squarrosa,SKUNKWEED,,http://www.flickr.com/search/?q=jrbp Navarretia squarrosa,SPEC,"Style, stamens included; stamen attachment in floral tube",457,,
Navarretia viscidula,STICKY NAVARRETIA,,http://www.flickr.com/search/?q=jrbp Navarretia viscidula,spec,Collected in 1973 “SE side Searsville Lake 300 m from lake edge by disused path”; not reported since,458,,
POLYGALACEAE – MILKWORT FAMILY,,,,,,,,
Polygala californica,CALIFORNIA MILKWORT,,http://www.flickr.com/search/?q=jrbp Polygala,SPEC,,460,,
POLYGONACEAE - BUCKWHEAT FAMILY,,,,,,,,
Chorizanthe diffusa,DIFFUSE SPINEFLOWER,,http://www.flickr.com/search/?q=jrbp Chorizanthe diffusa,spec,Collected in 1901 and 1910 “Dry rocky areas in chaparral and grassland’; Dengler 1975; not reported since,461,,
Eriogonum luteolum var. luteolum,GOLDEN-CARPET WILD BUCKWHEAT,,http://www.flickr.com/search/?q=jrbp Eriogonum luteolum,SPEC,,462,,
Eriogonum nudum var. auriculatum,EAR-SHAPED WILD BUCKWHEAT,,http://www.flickr.com/search/?q=jrbp Eriogonum nudum,SPEC,,463,,
Persicaria amphibia (Polygonum amphibium var. emersum),WATER SMARTWEED,,http://www.flickr.com/search/?q=jrbp Persicaria amphibium,SPEC,Per; fl red.,464,,
Persicaria lapathifolia (Polygonum lapathifolium),WILLOW WEED,,http://www.flickr.com/search/?q=jrbp Persicaria lapathifolia,spec,Collected from 1909-1981 at Searsville Lake–Corte Madera Cr delta; not reported since,466,,
*Persicaria maculosa (Polygonum persicaria),LADY'S THUMB,,http://www.flickr.com/search/?q=jrbp Persicaria maculosa thumb,SPEC,"Ann; fl pink or rose, perianth not gland-dotted",467,,
Persicaria punctata (Polygonum punctatum),PUNCTATE SMARTWEED,,http://www.flickr.com/search/?q=jrbp Persicaria punctatum,SPEC,Per; fl green to white; perianth gland-dotted.,468,,
*Polygonum aviculare ssp. depressum (P. arenastrum),"KNOTWEED, KNOTGRASS",,http://www.flickr.com/search/?q=jrbp Polygonum arenastrum,SPEC,,465,,
Pterostegia drymarioides,WOODLAND THREADSTEM,,http://www.flickr.com/search/?q=jrbp Pterostegia,SPEC,,469,,
*Rumex acetosella,SHEEP SORREL,,http://www.flickr.com/search/?q=jrbp Rumex acetosella,SPEC,Key to Rumex,470,,
*Rumex conglomeratus,GREEN DOCK,,http://www.flickr.com/search/?q=jrbp Rumex conglomeratus,SPEC,Key to Rumex,471,,
*Rumex crispus,CURLY DOCK,,http://www.flickr.com/search/?q=jrbp Rumex crispus,SPEC,Key to Rumex,472,,
*Rumex obtusifolius,BITTER DOCK,,,SPEC,"Key to Rumex. Springer 1935 “roadsides, near lake and buildings”; Moeur 1947. Dengler [Notebook] 9/24/1962 “horizontal branching from divaricate stems . . . Top of ridge.” Dengler [Notebook] 8/18/63: “perianth seg. very weakly toothed – CMW (laurel woods)”",474,,
*Rumex pulcher,FIDDLE DOCK,,http://www.flickr.com/search/?q=jrbp Rumex pulcher,SPEC,Key to Rumex,475,,
Rumex salicifolius (R. salicifolius var. s.),WILLOW DOCK,,http://www.flickr.com/search/?q=jrbp Rumex salicifolius,SPEC,Key to Rumex,476,,
PORTULACACEAE – PURSLANE FAMILY (see also MONTIACEAE),,,,,,,,
*Portulaca oleracea,PURSLANE,,http://www.flickr.com/search/?q=jrbp Portulaca oleracea,SPEC,,482,,
PRIMULACEAE – PRIMROSE FAMILY (see also MYRSINACEAE),,,,,,,,
Primula clevelandii var. patula (Dodecatheon c. ssp. patulum),LOWLAND SHOOTING STAR,,http://www.flickr.com/search/?q=jrbp Dodecatheon clevelandii,SPEC,St green,485,,
Primula hendersonii (Dodecatheon h.),"MOSQUITO BILL(S), SAILOR CAPS",,http://www.flickr.com/search/?q=jrbp Dodecatheon hendersonii,SPEC,St red,486,,
RANUNCULACEAE - BUTTERCUP FAMILY,,,,,,,,
Actaea rubra,BANEBERRY,,http://www.flickr.com/search/?q=jrbp Actaea,SPEC,Not observed since 2007. Springer 1935 “in a shady place S end of lake”; Porter 1962 “Occasional in dense oak-madrone forest on north-facing slope above SF Cr”,489,,
Aquilegia formosa,CRIMSON COLUMBINE,,http://www.flickr.com/search/?q=jrbp Aquilegia formosa,SPEC,,490,,
Clematis lasiantha,"CHAPARRAL CLEMATIS, PIPESTEM CLEMATIS",,http://www.flickr.com/search/?q=jrbp Clematis lasiantha,SPEC,,491,,
Clematis ligusticifolia,WESTERN VIRGIN'S BOWER,,http://www.flickr.com/search/?q=jrbp Clematis ligusticifolia,SPEC,"Springer 1935 “Rather rare”, now occasional",492,,
Delphinium californicum ssp. californicum,COAST OR CALIFORNIA LARKSPUR,,http://www.flickr.com/search/?q=jrbp Delphinium californicum,SPEC,,493,,
Delphinium hesperium ssp. hesperium,WESTERN LARKSPUR,,http://www.flickr.com/search/?q=jrbp Delphinium hesperium,SPEC,Serpentine only,494,,
Delphinium patens ssp. patens,SPREADING OR ZIGZAG LARKSPUR,,http://www.flickr.com/search/?q=jrbp Delphinium patens,SPEC,Not on serpentine,495,,
Delphinium variegatum ssp. variegatum,ROYAL LARKSPUR,,http://www.flickr.com/search/?q=jrbp Delphinium variegatum,spec,Collected 1954-1980 in serpentine grassland on NW part of Ridge; not reported since. Springer 1935 “Infrequent”,496,,
Myosurus minimus,COMMON MOUSE-TAIL,,http://www.flickr.com/search/?q=jrbp Myosurus minimus,spec,Collected 1981 “low area where water stands in mid-season below dam”; not reported since,799,,
Ranunculus californicus,CALIFORNIA BUTTERCUP,,http://www.flickr.com/search/?q=jrbp Ranunculus californicus,SPEC,,498,,
Ranunculus hebecarpus,PUBESCENT-FRUITED BUTTERCUP,,http://www.flickr.com/search/?q=jrbp Ranunculus hebecarpus,SPEC,,499,,
*Ranunculus muricatus,PRICKLE-FRUITED BUTTERCUP,,http://www.flickr.com/search/?q=jrbp Ranunculus muricatus,SPEC,,500,,
Ranunculus uncinatus,WOODLAND BUTTERCUP,,http://www.flickr.com/search/?q=jrbp Ranunculus uncinatus,SPEC,,939,,
Thalictrum fendleri var. polycarpum,MEADOW-RUE,,http://www.flickr.com/search/?q=jrbp Thalictrum fendleri,SPEC,,501,,
RHAMNACEAE – BUCKTHORN FAMILY,,,,,,,,
Ceanothus cuneatus var. cuneatus,BUCKBRUSH,,http://www.flickr.com/search/?q=jrbp Ceanothus cuneatus,SPEC,"Lvs, branching mostly opposite; single prominent midvein",502,,
Ceanothus oliganthus var. sorediatus,JIM BRUSH,,http://www.flickr.com/search/?q=jrbp Ceanothus oliganthus,SPEC,Lvs alternate; 3-veined from base; margins minutely gland-toothed,503,,
Frangula californica ssp. californica (Rhamnus c. ssp. c.),CALIFORNIA COFFEE BERRY,,http://www.flickr.com/search/?q=jrbp Frangula californica,SPEC,,504,,
Frangula californica ssp. tomentella (Rhamnus tomentella ssp. t.),HOARY COFFEE BERRY,,http://www.flickr.com/search/?q=jrbp Frangula tomentella,SPEC,Lvs very short-tomentose below only. Common along Tr.15 in serpentine. These plants have also been referred to F. c. ssp. c.; consensus lacking,507,,
Rhamnus crocea,SPINY REDBERRY,,http://www.flickr.com/search/?q=jrbp Rhamnus crocea,SPEC,Lvs ≤ 15 mm,505,,
Rhamnus ilicifolia,HOLLYLEAF REDBERRY,,http://www.flickr.com/search/?q=jrbp Rhamnus ilicifolia,SPEC,"Lvs ≥ 15 mm. reported by different workers (J. Griffin transect east of Trail 3, 1979-81 unpub data). These plants have also been referred to R. crocea; consensus lacking",506,,
ROSACEAE – ROSE FAMILY,,,,,,,,
Adenostoma fasciculatum var. fasciculatum (A. fasciculatum),"CHAMISE, GREASEWOOD",,http://www.flickr.com/search/?q=jrbp Adenostoma fasciculatum,SPEC,,508,,
Amelanchier utahensis,UTAH SERVICE-BERRY,,http://www.flickr.com/search/?q=jrbp Amelanchier utahensis,SPEC,,509,,
Aphanes occidentalis,WESTERN LADY'S MANTLE,,http://www.flickr.com/search/?q=jrbp Aphanes occidentalis,SPEC,,510,,
Cercocarpus betuloides var. betuloides,BIRCH-LEAF MOUNTAIN- MAHOGANY,,http://www.flickr.com/search/?q=jrbp Cercocarpus betuloides,SPEC,,511,,
*Cotoneaster pannosus (C. pannosa),SILVERLEAF COTONEASTER,,http://www.flickr.com/search/?q=jrbp Cotoneaster pannosus,SPEC,,512,,
*Crataegus monogyna,ONE-SEEDED HAWTHORN,,http://www.flickr.com/search/?q=jrbp monogyna,SPEC,,514,,
Drymocallis glandulosa var. wrangelliana (Potentilla glandulosa),STICKY CINQUEFOIL,,http://www.flickr.com/search/?q=jrbp Drymocallis glandulosa,SPEC,Stamens > 10; multiple locs (vs Horkelia),521,,
*Duchesnea indica var. indica,MOCK-STRAWBERRY,,http://www.flickr.com/search/?q=jrbp Duchesnea,SPEC,,899,,
Fragaria vesca,WOOD STRAWBERRY,,http://www.flickr.com/search/?q=jrbp Fragaria vesca,SPEC,,515,,
Heteromeles arbutifolia,"CHRISTMAS BERRY, TOYON",,http://www.flickr.com/search/?q=jrbp Heteromeles arbutifolia,SPEC,,516,,
Holodiscus discolor var. discolor,OCEANSPRAY,,http://www.flickr.com/search/?q=jrbp Holodiscus discolor,SPEC,,517,,
Horkelia californica var. californica (H. californica ssp. c.),CALIFORNICA HORKELIA,,http://www.flickr.com/search/?q=jrbp Horkelia californica,SPEC,Stamens 10; single loc (vs Drymocallis),518,,
Oemleria cerasiformis,OSO BERRY,,http://www.flickr.com/search/?q=jrbp Oemleria cerasiformis,SPEC,,519,,
Physocarpus capitatus,PACIFIC NINEBARK,,http://www.flickr.com/search/?q=jrbp Physocarpus capitatus,SPEC,,520,,
Prunus emarginata,BITTER CHERRY,,http://www.flickr.com/search/?q=jrbp Prunus emarginata,SPEC,"Collected in 1903 “Searsville Lake”; not reported since. Bitter cherry grows today along the Lost Tr., Windy Hill Preserve, in the upper watershed of Corte Madera Cr",522,,
Prunus ilicifolia ssp. ilicifolia,"ISLAY, HOLLY-LEAFED CHERRY",,http://www.flickr.com/search/?q=jrbp Prunus ilicifolia,SPEC,,523,,
*Prunus cerasifera,CHERRY PLUM,,http://www.flickr.com/search/?q=jrbp Prunus species,SPEC,,892,,
Prunus subcordata,"PACIFIC PLUM, SIERRA PLUM",,http://www.flickr.com/search/?q=jrbp Prunus subcordata,spec,Collected in 1921 “near Zoology Cabin at edge of redwoods”; not reported since,524,,
Prunus virginiana var. demissa,WESTERN CHOKE CHERRY,,http://www.flickr.com/search/?q=jrbp Prunus virginiana,SPEC,,525,,
*Pyracantha fortuneana,FIRETHORN,,http://www.flickr.com/search/?q=jrbp Pyracantha,SPEC,,526,,
N Rosa banksiae,LADY BANKS’ ROSE,,http://www.flickr.com/search/?q=jrbp Rosa banksiae,DOC,Single plant at Hermit Cabin site; persistent,876,,
Rosa californica,CALIFORNIA ROSE,,http://www.flickr.com/search/?q=jrbp Rosa californica,SPEC,,527,,
Rosa gymnocarpa var. gymnocarpa,WOOD ROSE,,http://www.flickr.com/search/?q=jrbp Rosa gymnocarpa,SPEC,Plants usu w/ slender straight prickles; hypanthium glabrous and sepals deciduous (vs. R. spithamea),528,,
N Rosa laevigata,CHEROKEE ROSE,,,SPEC,Rosa laevigata planted along the Sand Hill Rd. fence between 1975 & 1980; some plants persistant. Prickles like R. californica,529,,
Rosa spithamea,COAST GROUND ROSE,,http://www.flickr.com/search/?q=jrbp Rosa spithamea,SPEC,Plants usu w/ slender straight prickles; hypanthium glandular and sepals persistent (vs. R. gymnocarpa),530,,
"*Rubus armeniacus
 (R. discolor)",HIMALAYAN BLACKBERRY,,http://www.flickr.com/search/?q=jrbp Rubus armeniacus,SPEC,,531,,
Rubus parviflorus,THIMBLEBERRY,,http://www.flickr.com/search/?q=jrbp Rubus parviflorus,SPEC,,532,,
Rubus ursinus,CALIFORNIA BLACKBERRY,,http://www.flickr.com/search/?q=jrbp Rubus ursinus,SPEC,,533,,
RUBIACEAE – MADDER FAMILY,,,,,,,,
Galium aparine,GOOSE GRASS,,http://www.flickr.com/search/?q=jrbp Galium aparine,SPEC,,535,,
Galium californicum ssp. californicum,CALIFORNIA BEDSTRAW,,http://www.flickr.com/search/?q=jrbp Galium californicum,SPEC,,536,,
*Galium murale,TINY BEDSTRAW,,http://www.flickr.com/search/?q=jrbp Galium murale,SPEC,,537,,
*Galium parisiense,,,http://www.flickr.com/search/?q=jrbp Galium parisiense,SPEC,,,,
Galium porrigens var. porrigens,CLIMBING BEDSTRAW,,http://www.flickr.com/search/?q=jrbp Galium porrigens,SPEC,,538,,
Galium triflorum,SWEET-SCENTED BEDSTRAW,,http://www.flickr.com/search/?q=jrbp Galium triflorum,SPEC,,540,,
*Sherardia arvensis,FIELD MADDER,,http://www.flickr.com/search/?q=jrbp Sherardia arvensis,SPEC,,541,,
SALICACEAE – WILLOW FAMILY,,,,,,,,
Populus trichocarpa (P. balsamifera ssp. t.),BLACK COTTONWOOD,,http://www.flickr.com/search/?q=jrbp Populus trichocarpa,SPEC,,542,,
Salix exigua var. hindsiana (S. exigua),HINDS' WILLOW,,http://www.flickr.com/search/?q=jrbp Salix exigua,SPEC,,543,,
Salix laevigata,RED WILLOW,,http://www.flickr.com/search/?q=jrbp Salix laevigata,SPEC,,544,,
Salix lasiandra var. lasiandra (S. lucida ssp. lasiandra),PACIFIC OR YELLOW WILLOW,,http://www.flickr.com/search/?q=jrbp Salix lasiandra,SPEC,,546,,
Salix lasiolepis,ARROYO WILLOW,,http://www.flickr.com/search/?q=jrbp Salix lasiolepis,SPEC,,545,,
SAPINDACEAE – SOAPBERRY FAMILY (includes ACERACEAE and HIPPOCASTANACEAE),,,,,,,,
Acer macrophyllum,BIG-LEAF MAPLE,,http://www.flickr.com/search/?q=jrbp Acer macrophyllum,SPEC,,23,,
Acer negundo (A. n. var. californicum),BOX ELDER,,http://www.flickr.com/search/?q=jrbp Acer negundo,SPEC,,24,,
Aesculus californica,CALIFORNIA BUCKEYE,,http://www.flickr.com/search/?q=jrbp Aesculus californica,SPEC,,367,,
SAXIFRAGACEAE – SAXIFRAGE FAMILY,,,,,,,,
Boykinia occidentalis,COAST BOYKINIA,,http://www.flickr.com/search/?q=jrbp Boykinia occidentalis,SPEC,Collected in 1969 “N side of San Francisquito Cr. just above falls in creek”; not reported since,548,,
Heuchera micrantha,ALUMROOT,,http://www.flickr.com/search/?q=jrbp Heuchera micrantha,SPEC,,549,,
Lithophragma affine,WOODLAND STAR,,http://www.flickr.com/search/?q=jrbp Lithophragma affine,SPEC,,550,,
Lithophragma heterophyllum,HILL STAR,,http://www.flickr.com/search/?q=jrbp Lithophragma heterophyllum,SPEC,,551,,
Micranthes californica (Saxifraga c.),CALIFORNIA SAXIFRAGE,,http://www.flickr.com/search/?q=jrbp Micranthes californica,SPEC,,552,,
Tellima grandiflora,FRINGE CUPS,,http://www.flickr.com/search/?q=jrbp Tellima grandiflora,SPEC,,553,,
"SCROPHULARIACEAE – FIGWORT FAMILY (includes BUDDLEJACEAE; see also OROBANCHACEAE, PLANTAGINACEAE, PHRYMACEAE)",,,,,,,,
Limosella acaulis,STEMLESS MUDWORT,,http://www.flickr.com/search/?q=jrbp Limosella acaulis,SPEC,"Collected 1980–2004 near Searsville Lab Landing, sometimes abundant; not reported since",573,,
Scrophularia californica (S. californica ssp. c.),CALIFORNIA FIGWORT,,http://www.flickr.com/search/?q=jrbp Scrophularia californica,SPEC,,581,,
*Verbascum thapsus,WOOLLY MULLEIN,,http://www.flickr.com/search/?q=jrbp Verbascum,SPEC,,585,,
SIMAROUBACEAE – QUASSIA/SIMAROUBA FAMILY,,,,,,,,
*Ailanthus altissima,TREE OF HEAVEN,,http://www.flickr.com/search/?q=jrbp Ailanthus,SPEC,,589,,
SOLANACEAE – NIGHTSHADE FAMILY,,,,,,,,
*Datura stramonium,JIMSON WEED,,http://www.flickr.com/search/?q=jrbp Datura stramonium,SPEC,Collected in 1976; reported 9/2000 Corte Madera Cr floodplain; not reported since,590,,
*Lycopersicon esculentum,TOMATO,,http://www.flickr.com/search/?q=jrbp Lycopersicon esculentum,SPEC,,800,,
* Nicotiana acuminata var. multiflora,MANY-FLOWERED TOBACCO,,http://www.flickr.com/search/?q=jrbp Nicotiana acuminata,SPEC,,591,,
Petunia parviflora,WILD PETUNIA,,http://www.flickr.com/search/?q=jrbp Petunia parviflora,spec,Collected in 1909 “Searsville Lake”; not reported since,592,,
*Physalis philadelphica,TOMATILLO,,http://www.flickr.com/search/?q=jrbp Physalis philadelphica,SPEC,SF Creek,593,,
Solanum americanum,SMALL-FLOWERED NIGHTSHADE,,http://www.flickr.com/search/?q=jrbp Solanum americanum,SPEC,,594,,
Solanum umbelliferum,BLUE WITCH,,http://www.flickr.com/search/?q=jrbp Solanum umbelliferum,SPEC,,596,,
THYMELAEACEAE – DAPHNE FAMILY,,,,,,,,
« Dirca occidentalis,WESTERN LEATHERWOOD,,http://www.flickr.com/search/?q=jrbp Dirca occidentalis,SPEC,RANK 1B.2.,597,,
ULMACEAE – ELM FAMILY,,,,,,,,
W Ulmus minor,ENGLISH ELM,,http://www.flickr.com/search/?q=jrbp ulmus minor,SPEC,,598,,
URTICACEAE – NETTLE FAMILY,,,,,,,,
Hesperocnide tenella,WESTERN NETTLE,,http://www.flickr.com/search/?q=jrbp Hesperocnide tenella,SPEC,,599,,
*Soleirolia soleirolii,BABY'S TEARS,,http://www.flickr.com/search/?q=jrbp Soleirolia,SPEC,,844,,
Urtica dioica ssp. holosericea,HOARY NETTLE,,http://www.flickr.com/search/?q=jrbp Urtica dioica,SPEC,,600,,
VALERIANACEAE – VALERIAN FAMILY,,,,,,,,
Plectritis ciliosa (P. c. ssp. insignis),LONG-SPURRED PLECTRITIS,,http://www.flickr.com/search/?q=jrbp Plectritis ciliosa,SPEC,"Corolla 2-lipped, pink to dark pink, with two reddish spots at juncture of between upper and lower lips; spur slender",604,,
Plectritis congesta ssp. brachystemon (P. b.),PALE PLECTRITIS,,http://www.flickr.com/search/?q=jrbp Plectritis congesta,SPEC,,602,,
Plectritis macrocera,WHITE PLECTRITIS,,http://www.flickr.com/search/?q=jrbp Plectritis macrocera,SPEC,"Corolla ± radial, white to pale pink; corolla lobes ± equal; spur thick, blunt",605,,
VERBENACEAE – VERVAIN FAMILY,,,,,,,,
Phyla nodiflora (P. nodiflora var. n.),GARDEN LIPPIA,,http://www.flickr.com/search/?q=jrbp Phyla nodiflora,SPEC,Collected in 2001 at Searsville Lab Landing; not reported since,819,,
*Verbena bonariensis,CLUSTERFLOWER VERVAIN,,http://www.flickr.com/search/?q=jrbp Verbena bonariensis,SPEC,,824,,
Verbena lasiostachys var. lasiostachys,CALIFORNIA VERVAIN,,http://www.flickr.com/search/?q=jrbp Verbena lasiostachys,SPEC,"Nutlet scar ± brown, ± rough at 20×",606,,
Verbena lasiostachys var. scabrida,ROBUST VERVAIN,,http://www.flickr.com/search/?q=jrbp Verbena lasiostachys scabrida,SPEC,Nutlet scar white- papillate at 20×.,607,,
VIOLACEAE – VIOLET FAMILY,,,,,,,,
Viola ocellata,"WESTERN HEART'S EASE, TWO-EYED VIOLET",,http://www.flickr.com/search/?q=jrbp Viola ocellata,SPEC,Collected in 1893 and 1972 near Tiger Lily site Trail 1; not reported since,608,,
VISCACEAE – MISTLETOE FAMILY,,,,,,,,
Phoradendron leucarpum ssp. tomentosum (P. serotinum ssp. t.; P. villosum),AMERICAN MISTLETOE,,http://www.flickr.com/search/?q=jrbp phoradendron serotinum,SPEC,,609,,
VITACEAE – GRAPE FAMILY,,,,,,,,
* Parthenocissus quinquefolia,VIRGINIA CREEPER,,,SPEC,,948,,
* Vitis vinifera,GRAPE,,http://www.flickr.com/search/?q=jrbp vitis,SPEC,Planted at Hermit Cabin site; persistent,826,,
ZYGOPHYLLACEAE – CALTROP FAMILY,,,,,,,,
*Tribulus terrestris,"PUNCTURE VINE, CALTROP",,http://www.flickr.com/search/?q=jrbp tribulus,SPEC,,855,,
MONOCOTYLEDONS/MONOCOTS,,,,,,,,
AGAPANTHACEAE – AGAPANTHUS FAMILY,,,,,,,,
N Agapanthus,LILY-OF-THE-NILE,,http://www.flickr.com/search/?q=jrbp Agapanthus,DOC,Red-Hot Poker Meadow; persistent,652,,
AGAVACEAE – CENTURY-PLANT FAMILY,,,,,,,,
Chlorogalum pomeridianum var. pomeridianum,"AMOLE, SOAP PLANT",,http://www.flickr.com/search/?q=jrbp Chlorogalum pomeridianum,SPEC,,667,,
ALISMATACEAE – WATER-PLANTAIN FAMILY,,,,,,,,
Alisma triviale (A. plantago-aquatica),COMMON WATER-PLANTAIN,,http://www.flickr.com/search/?q=jrbp Alisma,SPEC,,610,,
Echinodorus berteroi,BURHEAD,,http://www.flickr.com/search/?q=jrbp Echinodorus berteroi,SPEC,"Collected 1979-1992 “dry lake bed near Searsville Dam”; most recent report Lennihan 9/29/93 “by boat launch,”",611,,
ALLIACEAE – ONION/GARLIC FAMILY,,,,,,,,
Allium amplectens,NARROW-LEAVED ONION,,http://www.flickr.com/search/?q=jrbp Allium amplectens,SPEC,"Tepals white w/pinkish midveins, papery when dry, 6 prominent ovary crests; vernally wet areas in serpentine",653,,
Allium falcifolium,BREWER'S ONION,,http://www.flickr.com/search/?q=jrbp Allium falcifolium,SPEC,Abundant at single location in serpentine Sec 24B4,655,,
Allium lacunosum var. lacunosum,PITTED ONION,,http://www.flickr.com/search/?q=jrbp Allium lacunosum,SPEC,"Tepals white w/dark midveins, ovary crests 3 minute, 2-lobed",656,,
« Allium peninsulare var. franciscanum,FRANCISCAN ONION,,http://www.flickr.com/search/?q=jrbp Allium peninsulare,SPEC,RANK 1B.2. Fls bright red-purple on long pedicels in open heads,838,,
*Allium triquetrum,ANGLED ONION,,http://www.flickr.com/search/?q=jrbp Allium triquetrum,SPEC,,926,,
Allium unifolium,ONE-LEAVED ONION,,http://www.flickr.com/search/?q=jrbp Allium unifolium,SPEC,Tepals pink,658,,
AMARYLLIDACEAE – AMARYLLIS FAMILY,,,,,,,,
*Amaryllis belladonna,NAKED LADIES,,http://www.flickr.com/search/?q=jrbp Amaryllis,SPEC,,659,,
*Narcissus pseudonarcissus,DAFFODIL,,http://www.flickr.com/search/?q=jrbp Narcissus pseudonarcissus,SPEC,,877,,
*Narcissus tazetta,PAPER WHITE,,http://www.flickr.com/search/?q=jrbp Narcissus tazetta,SPEC,,890,,
ARACEAE – ARUM FAMILY (includes LEMNACEAE),,,,,,,,
Lemna minor,SMALLER DUCKWEED,,http://www.flickr.com/search/?q=jrbp Lemna minor,SPEC,,649,,
Lemna minuta,LEAST DUCKWEED,,http://www.flickr.com/search/?q=jrbp Lemna minuta,SPEC,"First reported by Lennihan and Woodward 9/30/95 “under bridge and in swamp,”",650,,
Spirodela polyrhiza,DUCKMEAT,,,REP,"Lennihan and Woodward 10/14/92, “under bridge, Searsville Lake”; not reported since",651,,
Wolffia aff. columbiana,WATERMEAL,,http://www.flickr.com/search/?q=jrbp Wolffia,SPEC,,922,,
*Zantedeschia aethiopica,CALLA-LILY,,,SPEC,,612,,
ASPARAGACEAE – ASPARAGUS FAMILY,,,,,,,,
*Asparagus officinalis ssp. officinalis,GARDEN ASPARAGUS,,http://www.flickr.com/search/?q=jrbp Asparagus officinalis,SPEC,Occasional in dry beds of Bear Cr and SF Cr,660,,
ASPHODELACEAE - ASPHODEL FAMILY,,,,,,,,
*Kniphofia uvaria,RED-HOT POKER,,http://www.flickr.com/search/?q=jrbp Kniphofia,DOC,First observed in 2003 between Road C and Sand Hill Road; persistent,841,,
CYPERACEAE – SEDGE FAMILY (see also JRBP E-Flora Cyperaceae),,,,,,,,
Bolboschoenus maritimus ssp. paludosus (Scirpus m.),"SALTMARSH BULRUSH, ALKALI BULRUSH",,http://www.flickr.com/search/?q=jrbp Bolboschoenus maritimus,SPEC,,854,,
Carex amplifolia,BIG LEAF SEDGE,,http://www.flickr.com/search/?q=jrbp Carex amplifolia,SPEC,"Large clump in Bear Creek scoured out by high water flows of Winter, 2013",927,,
Carex barbarae,WHITEROOT OR SANTA BARBARA SEDGE,,http://www.flickr.com/search/?q=jrbp Carex barbarae,SPEC,,613,,
Carex bolanderi,BOLANDER'S SEDGE,,http://www.flickr.com/search/?q=jrbp Carex bolanderi,SPEC,,872,,
Carex densa,DENSE SEDGE,,http://www.flickr.com/search/?q=jrbp Carex densa,SPEC,,614,,
*Carex divulsa ssp. divulsa,GRAY SEDGE,,https://www.flickr.com/search/?q=carex divulsa jrbp,SPEC,First report 5/2013; single clump at main channel under Leonard’s Bridge,940,,
Carex globosa,ROUND-FRUITED SEDGE,,http://www.flickr.com/search/?q=jrbp Carex globosa,SPEC,,615,,
Carex gracilior,SLENDER SEDGE,,http://www.flickr.com/search/?q=jrbp Carex gracilior,SPEC,,616,,
Carex harfordii,"HARFORD'S SEDGE, MONTEREY SEDGE",,http://www.flickr.com/search/?q=jrbp Carex harfordii,SPEC,Veins both sides peri exceeding fr (vs C. subbracteata),912,,
Carex nudata,TORRENT SEDGE,,http://www.flickr.com/search/?q=jrbp Carex nudata,SPEC,,617,,
Carex serratodens,SAW-TOOTHED SEDGE,,http://www.flickr.com/search/?q=jrbp Carex serratodens,SPEC,,619,,
